Velocity (m/s)	Distance (m)	Time (s)	Acceleration (m/s2)	F Function (m)
152.4	6079.60176	19.962	5.175504	4487.47896
167.64	5651.87592	17.285	6.26364	4487.47896
182.88	5261.39664	15.054	7.45236	4487.47896
198.12	4902.22032	13.167	8.74776	4487.47896
213.36	4569.65304	11.549	10.143744	4487.47896
228.6	4260.06768	10.147	11.646408	4487.47896
243.84	3970.4772	8.92	13.249656	4487.47896
259.08	3698.41272	7.837	14.956536	4487.47896
274.32	3441.92352	6.875	16.770096	4487.47896
304.8	3036.53952	5.469	28.398216	3271.38792
335.28	2765.35896	4.618	45.73524	2457.84624
365.76	2577.11448	4.079	70.664832	1893.17376
396.24	2425.5984	3.681	82.93608	1893.17376
426.72	2285.29896	3.34	96.185736	1893.17376
457.2	2152.40616	3.039	106.670856	1959.62016
487.68	2023.872	2.767	117.512592	2023.872
518.16	1899.30024	2.519	128.7018	2086.17312
548.64	1778.32512	2.292	140.22324	2146.64544
579.12	1660.7028	2.083	152.067768	2205.47184
609.6	1546.098	1.89	164.229288	2262.74376
640.08	1434.32784	1.712	176.698656	2318.64408
670.56	1325.20944	1.545	189.469776	2373.20328
701.04	1218.52944	1.389	202.533504	2426.54328
731.52	1114.16592	1.244	215.886792	2478.72504
762	1011.936	1.107	229.517448	2529.84
792.48	911.74824	0.978	243.425472	2579.94912
822.96	813.45024	0.856	257.604768	2629.08288
853.44	716.95056	0.741	272.046192	2677.33272
883.92	622.18824	0.632	286.749744	2724.72912
914.4	529.01088	0.528	301.709328	2771.30256
944.88	437.388	0.43	301.709328	2817.114
975.36	347.22816	0.336	316.918848	2862.19392
1005.84	258.50088	0.246	332.378304	2906.5728
1036.32	171.05376	0.16	348.078552	2950.28112
1066.8	84.91728	0.078	364.019592	2993.34936
1097.28	0	0	380.198376	3035.808
1127.76	−83.75904	−0.075	413.24784	3077.68752
1158.24	−166.39032	−0.148	430.112424	3118.98792
1188.72	−247.92432	−0.217	447.20256	3159.77016
1219.2	−328.422	−0.284	464.512152	3200.03424
